timestamp,model_name,return_pct,sharpe,drawdown,win_rate,trades,config_hash
2026-04-25_012712,XGBClassifier,-1.2139860615587623,-1.8377524841549864,-2.7206778772470295,0.5789473684210527,19,f026e4bcb6d8af1b
2026-04-25_013244,XGBClassifier,-1.2139860615587623,-1.8377524841549864,-2.7206778772470295,0.5789473684210527,19,f026e4bcb6d8af1b
2026-04-25_014726,XGBClassifier,6502659921.050895,10.216616570160246,-2.7755451705898886,0.5813953488372093,43,b11b094aec64fc49
2026-04-25_014956,XGBClassifier,-3.218313529068458,-1.5751725497093623,-6.695192326561466,0.6,40,b11b094aec64fc49
2026-04-25_015134,XGBClassifier,-3.218313529068458,-1.5751725497093623,-6.695192326561466,0.6,40,b11b094aec64fc49
2026-04-25_015548,XGBClassifier,-6.733449083543004,-3.264412985591823,-8.070020258510517,0.5740740740740741,54,f4e719476dae521c
2026-04-25_020059,XGBClassifier,-1.8171095891698161,-4.425525060464139,-1.8171095891698161,0.47058823529411764,17,f4e719476dae521c
2026-04-25_020331,XGBClassifier,-0.9600747116839102,-3.405413469149742,-0.9600747116839102,0.0,4,f4e719476dae521c
2026-04-25_020803,XGBClassifier,-0.9600747116839102,-3.405413469149742,-0.9600747116839102,0.0,4,f4e719476dae521c
2026-04-25_020906,XGBClassifier,-0.9600747116839102,-3.405413469149742,-0.9600747116839102,0.0,4,f4e719476dae521c
2026-04-25_021134,XGBClassifier,-2.8934553604719437,-3.9107870574338532,-2.8934553604719437,0.2857142857142857,14,f4e719476dae521c
2026-04-25_021207,XGBClassifier,-0.8393592641698432,-3.524815706318651,-0.8393592641698432,0.0,4,f4e719476dae521c
2026-04-25_021224,XGBClassifier,-2.8934553604719437,-3.9107870574338532,-2.8934553604719437,0.2857142857142857,14,f4e719476dae521c
2026-04-25_021448,XGBClassifier,-2.4812567666857377,-3.5047486629534217,-2.678879422071401,0.2222222222222222,9,f4e719476dae521c
2026-04-25_021609,XGBClassifier,-2.4812567666857377,-3.5047486629534217,-2.678879422071401,0.2222222222222222,9,f4e719476dae521c
2026-04-25_021656,XGBClassifier,-0.9600747116839102,-3.405413469149742,-0.9600747116839102,0.0,4,f4e719476dae521c
2026-04-25_021758,XGBClassifier,-2.4812567666857377,-3.5047486629534217,-2.678879422071401,0.2222222222222222,9,f4e719476dae521c
2026-04-25_031330,XGBClassifier,-1.5908759760658235,-4.267045427620868,-1.5908759760658235,0.125,8,c5621da684bda338
2026-04-25_031400,XGBClassifier,-1.5908759760658235,-4.267045427620868,-1.5908759760658235,0.125,8,c5621da684bda338
2026-04-25_031524,XGBClassifier,-1.7879515810001068,-4.260766312427652,-1.7879515810001068,0.14285714285714285,7,c5621da684bda338
2026-04-25_171556,XGBClassifier,-1.19737439242305,-4.575833707089443,-1.19737439242305,0.14285714285714285,7,c5621da684bda338
2026-04-25_171849,XGBClassifier,-20.10632676619865,-9.425416788165116,-20.941082264501013,0.29064039408866993,203,2fcda8f39a674d35
2026-04-25_172007,XGBClassifier,-20.10632676619865,-9.425416788165116,-20.941082264501013,0.29064039408866993,203,2fcda8f39a674d35
2026-04-25_175231,XGBClassifier,-33.327400853750994,-20.859675254690814,-33.327400853750994,0.14285714285714285,175,e488e24d9132f09c
2026-04-25_180019,XGBClassifier,-33.23209335657466,-34.086530221499025,-33.23209335657466,0.05172413793103448,174,e488e24d9132f09c
2026-04-25_180151,XGBClassifier,-33.22948316065245,-24.19163187728119,-33.29531143538647,0.11666666666666667,180,e488e24d9132f09c
2026-04-25_180436,XGBClassifier,-33.158112258171656,-18.099133629241447,-33.158112258171656,0.27624309392265195,181,e488e24d9132f09c
2026-04-25_181421,XGBClassifier,-7.103292073423018,-8.669267408173603,-7.165322891378817,0.34210526315789475,38,aa274ca716947621
2026-04-25_191243,XGBClassifier,-33.25548209753639,-48.57590548755935,-33.25548209753639,0.06741573033707865,178,b3e2545813388df4
2026-04-25_191337,XGBClassifier,-33.22882801880341,-118.9061606966753,-33.24710254329082,0.028735632183908046,174,5288db42df3bbd0c
2026-04-25_191757,XGBClassifier,-33.09436380732571,-41.13296768762098,-33.34251813427429,0.26373626373626374,182,5288db42df3bbd0c
2026-04-26_193407,Dual-Math-XGBoost,-0.14637258829006897,0.0,-0.14637258829006897,0.0,1,a9fb7ea825e2fb3f
2026-04-26_193542,Dual-Math-XGBoost,-5.609649665628482,-6.799389661692856,-5.609649665628482,0.6736111111111112,144,ec02b6506550670b
2026-04-26_194608,Dual-Math-XGBoost,-5.609649665628482,-6.799389661692856,-5.609649665628482,0.6736111111111112,144,ec02b6506550670b
2026-04-26_194730,Dual-Math-XGBoost,-5.609649665628482,-6.799389661692856,-5.609649665628482,0.6736111111111112,144,8a7d77cb6b528b22
2026-04-26_195244,Dual-Math-XGBoost,-5.609649665628482,-6.799389661692856,-5.609649665628482,0.6736111111111112,144,8a7d77cb6b528b22
2026-04-26_195351,Dual-Math-XGBoost,-5.609649665628482,-6.799389661692856,-5.609649665628482,0.6736111111111112,144,4d3bd21da4e3d00a
2026-04-26_200115,Dual-Math-XGBoost,-24.316771962446378,-10.929116248720886,-24.316771962446378,0.5485232067510548,237,4d3bd21da4e3d00a
2026-04-26_200749,Dual-Math-XGBoost,-24.316771962446378,-10.929116248720886,-24.316771962446378,0.5485232067510548,237,4d3bd21da4e3d00a
2026-04-26_201630,Dual-Math-XGBoost,-24.316771962446378,-10.929116248720886,-24.316771962446378,0.5485232067510548,237,eaa815b3aa93b70d
2026-04-26_211554,Dual-Math-XGBoost,41.540036430370094,12.561930858088523,-0.563909959430683,0.8787878787878788,66,9d45e3d90c09846c
2026-04-26_213158,Dual-Math-XGBoost,41.540036430370094,12.561930858088523,-0.563909959430683,0.8787878787878788,66,9d45e3d90c09846c
2026-04-26_213213,Dual-Math-XGBoost,-24.316771962446378,-10.929116248720886,-24.316771962446378,0.5485232067510548,237,9d45e3d90c09846c
2026-04-26_213913,Dual-Math-XGBoost,41.540036430370094,12.561930858088523,-0.563909959430683,0.8787878787878788,66,bc094224bbbcf7ea
